agent\.id,agent\.ip,rule\.groups,rule\.mitre\.technique
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
